"optimizer","learning_rate","lr_decay","loss_function","batch_size","epochs","verbose","hidden_units","input_dim","dummy_val","model_name","run_id","dense_units","dense_dropout","lstm_units","channels","kernel_regularizer","initializer","conv_units","conv_activation","kernel_size","pool_size","conv_dropout","lstm_activation","lstm_dropout","pool_strides","dilation_rate","test_loss","test_acc","min_train_loss","max_train_acc","min_val_loss","max_val_acc"
"adam","0.001","0.001","categorical_crossentropy","32","300","1","","(2007, 8, 6, 7, 3)","","CNNLSTM","2018-03-15_20-57-24-CNNLSTM","[1024]","0.4","[16]","3.0","0.0001","glorot_uniform","[16, 16]","relu","[2, 2]","[1, 2]","[0, 0]","tanh","0.0","[1, 2]","1.0","1.2676140785217285","0.48","1.0895517939171746","0.5386148478833965","1.3427927974693314","0.3812375251285568"
"adam","0.001","0.001","categorical_crossentropy","32","300","1","","(2007, 8, 6, 7, 3)","","CNNLSTM","2018-03-15_21-00-10-CNNLSTM","[512]","0.0","[16]","3.0","0.0001","glorot_uniform","[16, 16]","relu","[2, 2]","[1, 2]","[0, 0]","tanh","0.2","[1, 2]","1.0","1.2461689043045043","0.4599999976158142","1.184387521002503","0.47882411543207504","1.3463136267043396","0.3712574852083971"
"adam","0.001","0.001","categorical_crossentropy","32","300","1","","(2007, 8, 6, 7, 3)","","CNNLSTM","2018-03-15_21-02-34-CNNLSTM","[512]","0.2","[16]","3.0","0.0001","glorot_uniform","[16, 16]","relu","[2, 2]","[1, 2]","[0, 0]","tanh","0.2","[1, 2]","1.0","1.3816080141067504","0.3000000035762787","1.2387970589736117","0.4374688588450308","1.339392741997085","0.3872255493185953"
"adam","0.001","0.001","categorical_crossentropy","32","300","1","","(2007, 8, 6, 7, 3)","","CNNLSTM","2018-03-15_21-05-52-CNNLSTM","[512]","0.4","[16]","3.0","0.0001","glorot_uniform","[16, 16]","relu","[2, 2]","[1, 2]","[0, 0]","tanh","0.2","[1, 2]","1.0","1.3408767652511595","0.4000000035762787","1.1729365597925914","0.4793223716396566","1.2903613458850427","0.4211576857014807"
"adam","0.001","0.001","categorical_crossentropy","32","300","1","","(2007, 8, 6, 7, 3)","","CNNLSTM","2018-03-15_21-08-03-CNNLSTM","[1024]","0.0","[16]","3.0","0.0001","glorot_uniform","[16, 16]","relu","[2, 2]","[1, 2]","[0, 0]","tanh","0.2","[1, 2]","1.0","1.4857298469543456","0.3000000035762787","1.2264415233005739","0.4474339810068713","1.3644132302430814","0.34930139738404586"
"adam","0.001","0.001","categorical_crossentropy","32","300","1","","(2007, 8, 6, 7, 3)","","CNNLSTM","2018-03-15_21-09-46-CNNLSTM","[1024]","0.2","[16]","3.0","0.0001","glorot_uniform","[16, 16]","relu","[2, 2]","[1, 2]","[0, 0]","tanh","0.2","[1, 2]","1.0","1.4655817747116089","0.20000000059604645","1.343190217410146","0.34728450405698663","1.37057861477553","0.3273453099166086"
"adam","0.001","0.001","categorical_crossentropy","32","300","1","","(2007, 8, 6, 7, 3)","","CNNLSTM","2018-03-15_21-12-40-CNNLSTM","[1024]","0.4","[16]","3.0","0.0001","glorot_uniform","[16, 16]","relu","[2, 2]","[1, 2]","[0, 0]","tanh","0.2","[1, 2]","1.0","1.361945481300354","0.2400000017881393","1.2125128796876339","0.4564025907535487","1.3560031064732108","0.3512974053680778"
"adam","0.001","0.001","categorical_crossentropy","32","300","1","","(2007, 8, 6, 7, 3)","","CNNLSTM","2018-03-15_21-14-12-CNNLSTM","[512]","0.0","[32]","3.0","0.0001","glorot_uniform","[16, 16]","relu","[2, 2]","[1, 2]","[0, 0]","tanh","0.0","[1, 2]","1.0","1.7451765727996826","0.3800000011920929","0.8957273704707474","0.6457399101505603","1.3704192700262317","0.3852295419889058"
"adam","0.001","0.001","categorical_crossentropy","32","300","1","","(2007, 8, 6, 7, 3)","","CNNLSTM","2018-03-15_21-15-29-CNNLSTM","[512]","0.2","[32]","3.0","0.0001","glorot_uniform","[16, 16]","relu","[2, 2]","[1, 2]","[0, 0]","tanh","0.0","[1, 2]","1.0","1.6227732181549073","0.3600000035762787","1.0160055507399517","0.5739910311822459","1.339235032865863","0.3912175660599729"
"adam","0.001","0.001","categorical_crossentropy","32","300","1","","(2007, 8, 6, 7, 3)","","CNNLSTM","2018-03-15_21-17-19-CNNLSTM","[512]","0.4","[32]","3.0","0.0001","glorot_uniform","[16, 16]","relu","[2, 2]","[1, 2]","[0, 0]","tanh","0.0","[1, 2]","1.0","1.4333761405944825","0.4000000005960465","0.9368002335111716","0.6078724462889771","1.303705835056876","0.4111776459002923"
"adam","0.001","0.001","categorical_crossentropy","32","300","1","","(2007, 8, 6, 7, 3)","","CNNLSTM","2018-03-15_21-19-11-CNNLSTM","[1024]","0.0","[32]","3.0","0.0001","glorot_uniform","[16, 16]","relu","[2, 2]","[1, 2]","[0, 0]","tanh","0.0","[1, 2]","1.0","1.8289539766311649","0.4200000023841858","0.9023605569061144","0.62531141012417","1.3844363208778363","0.4031936138451932"
"adam","0.001","0.001","categorical_crossentropy","32","300","1","","(2007, 8, 6, 7, 3)","","CNNLSTM","2018-03-15_21-20-53-CNNLSTM","[1024]","0.2","[32]","3.0","0.0001","glorot_uniform","[16, 16]","relu","[2, 2]","[1, 2]","[0, 0]","tanh","0.0","[1, 2]","1.0","1.5229621696472169","0.3000000005960464","0.9596812075860596","0.6078724465859607","1.3895518482326272","0.3672654691213619"
"adam","0.001","0.001","categorical_crossentropy","32","300","1","","(2007, 8, 6, 7, 3)","","CNNLSTM","2018-03-15_21-22-14-CNNLSTM","[1024]","0.4","[32]","3.0","0.0001","glorot_uniform","[16, 16]","relu","[2, 2]","[1, 2]","[0, 0]","tanh","0.0","[1, 2]","1.0","1.1978939580917358","0.4799999976158142","1.0942860899365952","0.5291479822112721","1.3889764366511574","0.36327345428352587"
"adam","0.001","0.001","categorical_crossentropy","32","300","1","","(2007, 8, 6, 7, 3)","","CNNLSTM","2018-03-15_21-24-21-CNNLSTM","[512]","0.0","[32]","3.0","0.0001","glorot_uniform","[16, 16]","relu","[2, 2]","[1, 2]","[0, 0]","tanh","0.2","[1, 2]","1.0","1.2855099248886108","0.4000000047683716","1.1257735909546078","0.5072247133393993","1.3327572957246363","0.4011976052068189"
"adam","0.001","0.001","categorical_crossentropy","32","300","1","","(2007, 8, 6, 7, 3)","","CNNLSTM","2018-03-15_21-26-17-CNNLSTM","[512]","0.2","[32]","3.0","0.0001","glorot_uniform","[16, 16]","relu","[2, 2]","[1, 2]","[0, 0]","tanh","0.2","[1, 2]","1.0","1.3890977811813354","0.3400000023841858","1.148605466898722","0.5017438965112223","1.332630986700991","0.3892215569457132"
"adam","0.001","0.001","categorical_crossentropy","32","300","1","","(2007, 8, 6, 7, 3)","","CNNLSTM","2018-03-15_21-28-43-CNNLSTM","[512]","0.4","[32]","3.0","0.0001","glorot_uniform","[16, 16]","relu","[2, 2]","[1, 2]","[0, 0]","tanh","0.2","[1, 2]","1.0","1.3370008754730225","0.38000000357627867","1.1393762870873154","0.4947683109860546","1.3165140504132726","0.3852295421078771"
"adam","0.001","0.001","categorical_crossentropy","32","300","1","","(2007, 8, 6, 7, 3)","","CNNLSTM","2018-03-15_21-31-07-CNNLSTM","[1024]","0.0","[32]","3.0","0.0001","glorot_uniform","[16, 16]","relu","[2, 2]","[1, 2]","[0, 0]","tanh","0.2","[1, 2]","1.0","1.3598219966888427","0.3800000011920929","1.1591390115322613","0.4957648230745356","1.3706762310035692","0.3612774460615512"
"adam","0.001","0.001","categorical_crossentropy","32","300","1","","(2007, 8, 6, 7, 3)","","CNNLSTM","2018-03-15_21-33-59-CNNLSTM","[1024]","0.2","[32]","3.0","0.0001","glorot_uniform","[16, 16]","relu","[2, 2]","[1, 2]","[0, 0]","tanh","0.2","[1, 2]","1.0","1.3114291954040531","0.3400000035762787","1.155362580210995","0.502242152169384","1.324262200001471","0.3892215569457132"
"adam","0.001","0.001","categorical_crossentropy","32","300","1","","(2007, 8, 6, 7, 3)","","CNNLSTM","2018-03-15_21-38-23-CNNLSTM","[1024]","0.4","[32]","3.0","0.0001","glorot_uniform","[16, 16]","relu","[2, 2]","[1, 2]","[0, 0]","tanh","0.2","[1, 2]","1.0","1.3499795055389403","0.3600000011920929","1.1426024565841644","0.4977578474890847","1.3102379304444245","0.3992015968658729"
"adam","0.001","0.001","categorical_crossentropy","32","300","1","","(2007, 8, 6, 7, 3)","","CNNLSTM","2018-03-15_21-40-12-CNNLSTM","[512]","0.0","[64]","3.0","0.0001","glorot_uniform","[16, 16]","relu","[2, 2]","[1, 2]","[0, 0]","tanh","0.0","[1, 2]","1.0","1.8647671604156493","0.38000000357627867","0.7904015649119359","0.6950672646036894","1.4228350216757035","0.37325349319242906"
"adam","0.001","0.001","categorical_crossentropy","32","300","1","","(2007, 8, 6, 7, 3)","","CNNLSTM","2018-03-15_21-41-45-CNNLSTM","[512]","0.2","[64]","3.0","0.0001","glorot_uniform","[16, 16]","relu","[2, 2]","[1, 2]","[0, 0]","tanh","0.0","[1, 2]","1.0","1.6488145637512206","0.3600000023841858","0.8388933881218895","0.6716492277327377","1.3601985394121885","0.3692614773433365"
